,salary_in_usd,count
0,80000,139
1,75000,112
2,90000,106
3,70000,100
4,100000,99
5,60000,80
6,85000,79
7,50000,76
8,65000,66
9,137000,61
10,95000,59
11,40000,52
12,110000,52
13,150000,51
14,115000,47
15,120000,47
16,60400,46
17,140000,39
18,75600,36
19,130000,34
20,64000,34
21,172000,34
22,105000,32
23,125000,29
24,135000,29
25,48000,27
26,96000,27
27,112000,27
28,56250,26
29,43750,25
30,46000,24
31,250000,24
32,145000,23
33,55000,23
34,86000,22
35,84000,21
36,160000,21
37,72000,20
38,52500,19
39,47500,19
40,82000,19
41,92000,19
42,177000,18
43,104000,18
44,30000,17
45,208800,17
46,98300,17
47,68000,17
48,185000,16
49,83300,16
50,66000,16
51,54000,16
52,78000,15
53,180000,15
54,170000,15
55,62000,15
56,60300,15
57,56000,14
58,93000,14
59,83000,14
60,62500,14
61,106000,14
62,33500,14
63,77000,14
64,37500,13
65,47000,13
66,73000,13
67,44000,13
68,91200,13
69,58000,13
70,89000,12
71,68750,12
72,139650,12
73,62400,12
74,97000,12
75,179000,12
76,190000,12
77,74000,12
78,45000,11
79,116000,11
80,76000,11
81,98000,11
82,144000,11
83,138000,11
84,87000,11
85,84100,11
86,67000,10
87,93750,10
88,124000,10
89,57000,10
90,106400,10
91,94000,10
92,122000,10
93,47840,10
94,162240,10
95,137750,9
96,205000,9
97,81000,9
98,106590,9
99,123000,9
100,113500,9
101,133000,9
102,114000,9
103,237500,9
104,87500,8
105,139000,8
106,96250,8
107,95520,8
108,35000,8
109,220000,8
110,25000,8
111,136800,8
112,183000,8
113,119000,8
114,168150,8
115,44444,8
116,114400,8
117,75065,8
118,128250,8
119,63000,8
120,99000,8
121,132000,8
122,101080,8
123,88200,8
124,146000,8
125,112200,8
126,131000,8
127,200000,8
128,99200,8
129,31250,7
130,58400,7
131,21333,7
132,20000,7
133,117363,7
134,194750,7
135,156000,7
136,89600,7
137,106025,7
138,52000,7
139,92700,7
140,51000,7
141,128000,7
142,69500,7
143,83400,7
144,41419,7
145,67500,7
146,97500,7
147,129200,6
148,42000,6
149,43064,6
150,32000,6
151,76546,6
152,88640,6
153,28125,6
154,147000,6
155,101520,6
156,45864,6
157,81900,6
158,28750,6
159,175100,6
160,300000,6
161,61800,6
162,18000,6
163,37000,6
164,64900,6
165,33750,6
166,101000,6
167,63750,6
168,102000,6
169,119200,6
170,34666,6
171,79310,6
172,168888,6
173,177777,6
174,93400,6
175,69400,6
176,80800,6
177,76500,6
178,62186,5
179,166000,5
180,44419,5
181,106100,5
182,174600,5
183,64200,5
184,87100,5
185,42866,5
186,65820,5
187,90600,5
188,88888,5
189,111894,5
190,88800,5
191,53100,5
192,108000,5
193,74300,5
194,57146,5
195,39500,5
196,65500,5
197,103000,5
198,69000,5
199,219100,5
200,118500,5
201,44850,5
202,81075,5
203,49216,5
204,61600,5
205,46666,5
206,142500,5
207,91000,5
208,151770,5
209,176000,5
210,170500,5
211,61700,5
212,91062,5
213,71800,4
214,82100,4
215,232222,4
216,82915,4
217,72500,4
218,203280,4
219,66666,4
220,148200,4
221,88500,4
222,65600,4
223,70400,4
224,84600,4
225,65750,4
226,92280,4
227,43888,4
228,88000,4
229,154500,4
230,118750,4
231,173040,4
232,96800,4
233,58750,4
234,35625,4
235,109000,4
236,64500,4
237,98100,4
238,113000,4
239,58300,4
240,73476,4
241,94600,4
242,69230,4
243,26575,4
244,170186,4
245,74500,4
246,53000,4
247,155000,4
248,55555,4
249,85420,4
250,79000,4
251,133900,4
252,107600,4
253,126000,4
254,79900,4
255,81400,4
256,43618,4
257,32974,4
258,86600,4
259,51600,4
260,67672,4
261,158620,4
262,109100,4
263,58500,4
264,113800,4
265,16000,4
266,26666,4
267,95100,4
268,85500,4
269,137900,4
270,104500,4
271,87900,3
272,45900,3
273,129000,3
274,85200,3
275,46250,3
276,58333,3
277,206250,3
278,66900,3
279,86800,3
